WCAG Issues — 265 Issues (axe),,,,,,,,,Auditor URL:,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
Total: 265   |   ✅ Fixed: 242   |   ⏳ Pending (Helpjuice): 23,,,,,,,,,,,,,,
Issue ID,Status,Summary,Impact,WCAG Checkpoint,Standards,URL,Rule ID,Issue Status,Deque validation status,Test Unit,,Innovaccer Comment,Revalidation comment,Deque Axe Auditor Status
2338687,Fixed,ARIA commands must have an accessible name,Serious,4.1 Compatible,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/users/details/32fd9468-d1f7-4621-b23b-92e117b4d644,aria-command-name,Open,Not fixed,Level of Access - Permissions tab,,Fixed,,Open
2338868,Fixed,Function cannot be performed by keyboard alone,Critical,2.1 Keyboard Accessible,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/users/details/32fd9468-d1f7-4621-b23b-92e117b4d644,keyboard-inaccessible,Open,Fixed,Level of Access - Permissions tab,,Fixed,,Closed
2338934,Fixed,Controls have same name but different actions,Serious,2.4 Navigable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/users/details/32fd9468-d1f7-4621-b23b-92e117b4d644,buttons-confusing,Open,Partially Fixed,Level of Access - Permissions tab,,Partial/Pending DS,,Open
2338939,Fixed,State: Expand/collapse state of the element is missing or incorrect,Serious,4.1 Compatible,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/users/details/32fd9468-d1f7-4621-b23b-92e117b4d644,state-aria-expanded-missing-incorrect,Open,Fixed,Level of Access - Permissions tab,,Fixed,,Closed
2339066,Fixed,ARIA commands must have an accessible name,Serious,4.1 Compatible,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/helpcenter/,aria-command-name,Open,3rd party - Out of scope to be kept Open,Help Center,,3rd Party (Helpjuice),,Open
2339067,Fixed,Elements must meet minimum color contrast ratio thresholds,Serious,1.4 Distinguishable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/helpcenter/,color-contrast,Open,3rd party - Out of scope to be kept Open,Help Center,,3rd Party (Helpjuice),,Open
2339068,Fixed,Elements must meet minimum color contrast ratio thresholds,Serious,1.4 Distinguishable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/helpcenter/,color-contrast,Open,3rd party - Out of scope to be kept Open,Help Center,,3rd Party (Helpjuice),,Open
2339069,Fixed,Elements must meet minimum color contrast ratio thresholds,Serious,1.4 Distinguishable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/helpcenter/,color-contrast,Open,3rd party - Out of scope to be kept Open,Help Center,,3rd Party (Helpjuice),,Open
2339070,Fixed,Elements must meet minimum color contrast ratio thresholds,Serious,1.4 Distinguishable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/helpcenter/,color-contrast,Open,3rd party - Out of scope to be kept Open,Help Center,,3rd Party (Helpjuice),,Open
2339071,Fixed,Elements must meet minimum color contrast ratio thresholds,Serious,1.4 Distinguishable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/helpcenter/,color-contrast,Open,3rd party - Out of scope to be kept Open,Help Center,,3rd Party (Helpjuice),,Open
2339072,Fixed,Elements must meet minimum color contrast ratio thresholds,Serious,1.4 Distinguishable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/helpcenter/,color-contrast,Open,3rd party - Out of scope to be kept Open,Help Center,,3rd Party (Helpjuice),,Open
2339073,Fixed,Elements must meet minimum color contrast ratio thresholds,Serious,1.4 Distinguishable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/helpcenter/,color-contrast,Open,3rd party - Out of scope to be kept Open,Help Center,,3rd Party (Helpjuice),,Open
2339074,Fixed,Elements must meet minimum color contrast ratio thresholds,Serious,1.4 Distinguishable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/helpcenter/,color-contrast,Open,3rd party - Out of scope to be kept Open,Help Center,,3rd Party (Helpjuice),,Open
